trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_name,stop_lat,stop_lon
5288300, 9:29:00, 9:29:00,10076,1,VINE   @ ROTHWELL,29.767624,-95.428169
5288300, 9:33:00, 9:33:00,215,2,FANNIN ST @ PRESTON ST,29.761153,-95.426135
5288300, 9:34:00, 9:34:00,242,3,FANNIN ST @ TEXAS AVE,29.75961,-95.422967
5288300, 9:35:00, 9:35:00,244,4,FANNIN ST @ RUSK ST,29.758066,-95.422985
5288300, 9:35:58, 9:35:58,246,5,FANNIN ST @ MC KINNEY ST,29.756585,-95.423032
5288300, 9:37:00, 9:37:00,248,6,FANNIN ST @ DALLAS ST,29.755082,-95.423009
5288300, 9:37:37, 9:37:37,250,7,FANNIN ST @ CLAY ST,29.753684,-95.423101
5288300, 9:38:20, 9:38:20,218,8,FANNIN ST @ LEELAND ST,29.752095,-95.42206
5288300, 9:39:00, 9:39:00,219,9,FANNIN ST @ JEFFERSON ST,29.750614,-95.41256
5288300, 9:39:38, 9:39:38,252,10,FANNIN ST @ PIERCE ST,29.749124,-95.418035
5288300, 9:40:16, 9:40:16,9515,11,FANNIN ST @ WEBSTER ST,29.747608,-95.418772
5288300, 9:40:52, 9:40:52,9516,12,FANNIN ST @ MC ILHENNY ST,29.746177,-95.418087
5288300, 9:41:21, 9:41:21,9517,13,FANNIN ST @ MC GOWEN ST,29.745035,-95.418106
5288300, 9:42:10, 9:42:10,9518,14,FANNIN ST @ TUAM ST,29.743134,-95.419077
5288300, 9:43:00, 9:43:00,9519,15,FANNIN ST @ ELGIN ST,29.741275,-95.420637
5288300, 9:43:50, 9:43:50,9520,16,FANNIN ST @ HOLMAN ST,29.739436,-95.417348
5288300, 9:44:37, 9:44:37,9521,17,FANNIN ST @ ALABAMA ST,29.737672,-95.417372
5288300, 9:45:31, 9:45:31,9522,18,FANNIN ST @ CLEBURNE ST,29.735688,-95.417377
5288300, 9:46:20, 9:46:20,9523,19,FANNIN ST @ WHEELER ST,29.733833,-95.421094
5288300, 9:47:00, 9:47:00,11030,20,WHEELER STATION (BUS),29.733193,-95.420677
5288300, 9:48:20, 9:48:20,11409,21,MAIN ST @ ARBOR PL,29.730964,-95.420694
5288300, 9:49:13, 9:49:13,11246,22,MAIN ST @ SOUTHMORE ST,29.728765,-95.42073
5288300, 9:50:15, 9:50:15,11245,23,MAIN ST @ BISSONNET ST,29.726184,-95.423728
5288300, 9:50:43, 9:50:43,2503,24,MAIN ST @ EWING,29.725009,-95.426172
5288300, 9:51:26, 9:51:26,2504,25,MAIN ST @ REMINGTON LN,29.72335,-95.428147
5288300, 9:52:40, 9:52:40,2505,26,MAIN ST @ SUNSET BLVD,29.720302,-95.429682
5288300, 9:55:00, 9:55:00,9948,27,CAMBRIDGE ST @ FANNIN ST,29.714935,-95.433606
5288300, 9:56:53, 9:56:53,9950,28,BEN TAUB LOOP @ CAMBRIDGE ST,29.71141,-95.437845
5288300, 9:58:18, 9:58:18,12175,29,CAMBRIDGE ST @ MAC GREGOR WAY,29.708653,-95.439943
